pureza,fedi,x1,x2,x3,x4,x5,x6,x7
-0.001,10.0,2.323738884313527,74.30016930717886,53.92347429837331,23,36,19,45
-0.001,10.0,2.5204119904354925,76.90500592716408,59.27395550205515,23,36,52,45
-0.001,10.0,4.6196438771139,94.87254747347569,56.090699772560555,15,8,28,49
-0.001,10.0,4.561110559300607,98.41648211145973,57.45380224229212,23,15,50,44
-0.001,10.0,3.1743220077179806,53.25220892029212,59.664666713780235,56,29,23,48
-0.997829396,324.0048091810062,4.298401521321239,73.16154249068367,59.46607832874763,18,32,36,45
-0.001,10.0,4.926121195533812,56.64613288099483,53.71598598106911,54,56,18,39
-0.001,10.0,4.967781745069817,59.83785600983633,54.37784653492664,31,55,17,32
-0.001,10.0,4.491767666000898,56.55762523906036,57.54969515913462,14,13,45,31
-0.001,10.0,4.968745063127548,59.88504125734341,54.22827973402809,32,31,16,32
-0.001,10.0,2.512394951057235,62.177239515029015,52.22890899753055,18,51,42,41
-0.001,10.0,2.6931287076827486,74.78132439995203,53.8736700568061,19,15,52,43
-0.001,10.0,3.6054269888096617,85.43408531063729,56.152968721558324,15,4,30,41
-0.001,10.0,2.8090321308069384,77.84535498710683,54.20879444007177,25,55,26,43
-0.001,10.0,2.826299731465877,52.96896590770752,54.619448999923726,3,3,13,32
-0.001,10.0,4.313365269883742,72.47803136542834,54.504289262301675,18,32,31,35
-0.001,10.0,4.813079078225838,64.10439212808399,54.272117302094124,23,8,18,44
-0.001,10.0,3.0119746011449733,61.83995392680728,59.7374037656018,48,12,4,47
-0.001,10.0,4.983007345025652,78.80184683297401,56.13496382012252,28,55,18,32
-0.001,10.0,4.983007345025652,56.5896068286785,54.27285837003312,54,31,18,32
-0.001,10.0,2.2599902443056488,62.1036317623616,58.896716912466566,27,55,52,40
-0.001,10.0,3.0100005453414638,61.83995392680728,59.66956414890596,48,5,13,47
-0.873785937,297.1550640479197,2.8282737872693864,52.96896590770752,54.619448999923726,2,3,4,32
-0.001,10.0,2.323738884313527,74.30016930717886,59.2737476700259,23,36,19,43
-0.001,10.0,4.813079078225838,64.10439212808399,54.27432757186742,25,8,42,41
-0.001,10.0,2.6999232701598097,77.84535498710683,54.20658417029847,23,51,18,44
-0.001,10.0,2.403818078425906,52.857914047687075,59.281378222769426,24,35,50,43
-0.001,10.0,2.403818078425906,52.95311132465095,59.28158605479868,24,35,25,45
-0.001,10.0,4.6196438771139,72.61492499607111,54.52257337345988,15,8,28,49
-0.001,10.0,3.981534173110856,72.59419015346373,58.51849636833391,15,1,42,47
